BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,255
16,256
17,257
18,278
19,279
20,270
21,271
22,272
23,273
24,274
25,275
26,276
27,277
28,278
29,289
30,250
31,252
32,254
33,256
34,258
35,260
36,262
37,264
38,266
39,268
40,270
41,272
42,274
43,276
44,278
45,280
46,282
47,284
48,286
49,288
50,290
51,292
52,294
53,296
54,298
55,300
56,276
57,280
58,284
59,288
60,292
61,296
62,300
63,304
64,308
65,312
66,316
67,320
68,324
69,328
70,332
71,336
72,340
73,344
74,348
75,350
76,350
77,350
78,350
79,352
80,350
81,350
82,350
83,350
84,350
85,350
86,350
87,350
88,350
89,353
90,350
91,350
92,350
93,350
94,350
95,350
96,370
97,372
98,380
99,380
100,400
101,450
102,450
103,450
104,450
105,450
106,450
107,450
108,450
109,450
110,450
111,466
112,450
113,450
114,450
115,450
116,350
117,350
118,350
119,350
120,350
121,350
122,350
123,350
124,350
125,350
126,350
127,350
128,350
129,350
130,350
131,350
132,350
133,350
134,350
135,350
136,350
137,350
138,350
139,350
140,350
141,350
142,350
143,350
144,350
145,350
146,350
147,350
148,350
149,349
150,348
