BveTs Vehicle Performance Table 1.00,
#,
0,1.00
1,0.80
2,1.59
3,2.39
4,3.18
5,3.98
6,4.77
7,5.57
8,6.36
9,7.16
10,7.95
11,8.75
12,9.55
13,10.34
14,11.14
15,11.93
16,12.73
17,13.52
18,14.32
19,15.11
20,15.91
21,16.71
22,17.50
23,18.30
24,19.09
25,19.89
26,20.68
27,21.48
28,22.27
29,23.07
30,23.86
31,24.66
32,25.46
33,26.25
34,27.05
35,27.84
36,28.64
37,29.43
38,30.23
39,31.02
40,31.82
41,31.82
42,31.82
43,31.82
44,31.82
45,31.82
46,31.82
47,31.82
48,31.82
49,31.82
50,31.82
51,31.82
52,31.82
53,31.82
54,31.82
55,31.82
56,31.82
57,31.82
58,31.82
59,31.82
60,31.82
61,31.82
62,31.82
63,31.82
64,31.82
65,31.82
66,31.82
67,31.82
68,31.82
69,31.82
70,31.82
71,31.82
72,31.82
73,31.82
74,31.82
75,31.82
76,31.82
77,31.82
78,31.82
79,31.82
80,31.82
81,31.82
82,31.82
83,31.82
84,31.82
85,31.82
86,31.82
87,31.82
88,31.82
89,31.82
90,31.82
91,31.82
92,31.82
93,31.82
94,31.82
95,31.82
96,31.82
97,31.82
98,31.82
99,31.82
100,31.82
101,31.50
102,31.20
103,30.89
104,30.60
105,30.30
106,30.02
107,29.74
108,29.46
109,29.19
110,28.93
111,28.67
112,28.41
113,28.16
114,27.91
115,27.67
116,27.43
117,27.20
118,26.97
119,26.74
120,26.52
121,26.30
122,26.08
123,25.87
124,25.66
125,25.46
126,25.25
127,25.05
128,24.86
129,24.67
130,24.48
131,24.29
132,24.11
133,23.92
134,23.75
135,23.57
136,23.40
137,23.23
138,23.06
139,22.89
140,22.73
141,22.57
142,22.41
143,22.25
144,22.10
145,21.94
146,21.79
147,21.65
148,21.50
149,21.36
150,21.21
