BveTs Vehicle Performance Table 1.00,
#,F-Empty
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,22595
16,23768
17,24941
18,26114
19,27287
20,28460
21,29633
22,30806
23,31979
24,33152
25,34325
26,35498
27,36671
28,37844
29,39017
30,40190
31,41363
32,42536
33,43709
34,44882
35,46055
36,47228
37,48401
38,49574
39,50747
40,51920
41,51920
42,51920
43,51920
44,51920
45,51920
46,51920
47,51920
48,51920
49,51920
50,51920
51,51920
52,51920
53,51920
54,51920
55,51920
56,51920
57,51920
58,51920
59,51920
60,51920
61,51920
62,51920
63,51920
64,51920
65,51920
66,51920
67,51920
68,51920
69,51920
70,51920
71,51920
72,51920
73,51920
74,51920
75,51920
76,51920
77,51920
78,51920
79,51920
80,51920
81,51920
82,51920
83,51920
84,51920
85,51920
86,51920
87,51920
88,51920
89,51920
90,51920
91,51920
92,51920
93,51920
94,51920
95,51920
96,51920
97,51920
98,51920
99,51920
100,51920
101,51920
102,51920
103,51920
104,51920
105,51920
106,51920
107,51920
108,51920
109,51920
110,51920
111,51920
112,51920
113,51920
114,51920
115,51920
116,51920
117,51920
118,51920
119,51920
120,51920
121,51920
122,51920
123,51920
124,51854
125,51070
126,50306
127,49560
128,48832
129,48121
130,47428
131,46750
132,46089
133,45443
134,44812
135,44195
136,43592
137,43003
138,42427
139,41864
140,41313
141,40774
142,40247
143,39732
144,39227
145,38733
146,38250
147,37777
148,37313
149,36860
150,36415
