BveTs Vehicle Performance Table 1.00,,,,
#,c,,,
#,1,2,3,4
#,p1c,p2c,p3c,p4c
0,300,300,300,300
1,300,300,300,300
2,290,290,300,300
3,289,289,289,259
4,288,288,288,458
5,287,287,287,433
6,286,286,286,432
7,285,285,285,431
8,284,284,284,430
9,283,283,283,429
10,282,320,320,428
11,281,319,319,427
12,280,318,318,426
13,279,317,317,425
14,278,316,316,424
15,277,315,315,423
16,276,314,314,422
17,275,313,313,421
18,274,312,312,420
19,273,311,311,419
20,272,310,310,525
21,271,309,309,524
22,270,308,308,523
23,269,307,307,522
24,268,306,306,521
25,267,305,305,520
26,266,304,413,519
27,265,303,412,518
28,264,302,411,517
29,263,301,410,516
30,262,300,409,515
31,261,299,408,514
32,260,298,407,513
33,259,297,406,512
34,258,296,405,511
35,257,295,404,510
36,256,294,403,509
37,255,293,402,508
38,254,292,401,507
39,253,291,400,506
40,252,290,399,550
41,251,289,398,549
42,250,288,397,548
43,249,287,396,547
44,248,286,395,546
45,247,285,394,545
46,246,284,393,544
47,245,283,392,543
48,244,282,391,542
49,243,281,390,541
50,242,280,389,590
51,241,279,388,589
52,240,278,387,588
53,239,277,386,587
54,238,276,385,586
55,237,275,384,585
56,236,274,383,584
57,235,273,382,583
58,234,272,381,582
59,233,271,380,581
60,232,270,379,620
61,231,269,378,619
62,230,268,377,618
63,229,267,376,617
64,228,266,375,616
65,227,265,374,615
66,226,264,373,614
67,225,263,372,613
68,224,262,371,612
69,223,261,370,611
70,222,260,369,610
71,221,259,368,609
72,220,258,367,608
73,219,257,366,607
74,218,256,365,606
75,217,255,364,605
76,216,254,363,604
77,215,253,362,603
78,214,252,361,602
79,213,251,360,601
80,212,250,359,600
81,211,249,358,599
82,210,248,357,598
83,209,247,356,597
84,208,246,355,596
85,207,245,354,595
86,206,244,353,594
87,205,243,352,593
88,204,242,351,592
89,203,241,350,591
90,202,240,349,590
91,201,239,348,589
92,200,238,347,588
93,199,237,346,587
94,198,236,345,586
95,197,235,344,585
96,196,234,343,584
97,195,233,342,583
98,194,232,341,582
99,193,231,340,581
100,192,230,339,580
101,191,229,338,579
102,190,228,337,578
103,189,227,336,577
104,188,226,335,576
105,187,225,334,575
106,186,224,333,574
107,185,223,332,573
108,184,222,331,572
109,183,221,330,571
110,182,220,329,570
111,181,219,328,569
112,180,218,327,568
113,179,217,326,567
114,178,216,325,566
115,177,215,324,565
116,176,214,323,564
117,175,213,322,563
118,174,212,321,562
119,173,211,320,561
120,172,210,319,560
121,171,209,318,559
122,170,208,317,558
123,169,207,316,557
124,168,206,315,556
125,167,205,314,555
126,166,204,313,554
127,165,203,312,553
128,164,202,311,552
129,163,201,310,551
130,162,200,309,550
131,161,199,308,549
132,160,198,307,548
133,159,197,306,547
134,158,196,305,546
135,157,195,304,545
136,156,194,303,544
137,155,193,302,543
138,154,192,301,542
139,153,191,300,541
140,152,190,299,540
141,151,189,298,539
142,150,188,297,538
143,149,187,296,537
144,148,186,295,536
145,147,185,294,535
146,146,184,293,534
147,145,183,292,533
148,144,182,291,532
149,143,181,290,531
150,142,180,289,530
