BveTs Vehicle Performance Table 1.00,,,,
#,cMax,,,
#,1,2,3,4
#,p1cMax,p2cMax,p3cMax,p4cMax
0,310,310,340,340
1,300,300,330,330
2,299,299,329,329
3,298,298,328,328
4,297,297,327,503
5,296,296,326,502
6,295,295,325,501
7,294,294,324,500
8,293,293,323,499
9,292,380,410,530
10,291,379,409,529
11,290,378,408,528
12,289,377,407,527
13,288,376,406,526
14,287,375,405,525
15,286,374,404,524
16,285,373,403,523
17,284,372,402,522
18,283,371,401,521
19,282,370,370,565
20,281,369,369,564
21,280,368,368,563
22,279,367,367,562
23,278,366,366,561
24,277,365,365,560
25,276,473,473,559
26,275,472,472,558
27,274,471,471,557
28,273,470,470,556
29,272,469,469,555
30,271,468,468,554
31,270,467,467,553
32,269,466,466,552
33,268,465,465,551
34,267,464,464,550
35,266,463,463,549
36,265,462,462,548
37,264,461,461,547
38,263,460,460,546
39,262,459,459,590
40,261,458,565,589
41,260,457,564,588
42,259,456,563,587
43,258,455,562,586
44,257,454,561,585
45,256,453,560,584
46,255,452,559,583
47,254,451,558,582
48,253,450,557,581
49,252,449,556,630
50,251,448,555,629
51,250,447,554,628
52,249,446,553,627
53,248,445,552,626
54,247,444,551,625
55,246,443,550,624
56,245,442,549,623
57,244,441,548,622
58,243,440,547,621
59,242,439,546,620
60,241,438,545,619
61,240,437,544,618
62,239,436,543,617
63,238,435,542,616
64,237,434,541,615
65,236,433,540,614
66,235,432,539,613
67,234,431,538,612
68,233,430,537,611
69,232,429,536,610
70,231,428,535,609
71,230,427,534,608
72,229,426,533,607
73,228,425,532,606
74,227,424,531,605
75,226,423,530,604
76,225,422,529,603
77,224,421,528,602
78,223,420,527,601
79,222,419,526,600
80,221,418,525,599
81,220,417,524,598
82,219,416,523,597
83,218,415,522,596
84,217,414,521,595
85,216,413,520,594
86,215,412,519,593
87,214,411,518,592
88,213,410,517,591
89,212,409,516,590
90,211,408,515,589
91,210,407,514,588
92,209,406,513,587
93,208,405,512,586
94,207,404,511,585
95,206,403,510,584
96,205,402,509,583
97,204,401,508,582
98,203,400,507,581
99,202,399,506,580
100,201,398,505,579
101,200,397,504,578
102,199,396,503,577
103,198,395,502,576
104,197,394,501,575
105,196,393,500,574
106,195,392,499,573
107,194,391,498,572
108,193,390,497,571
109,192,389,496,570
110,191,388,495,569
111,190,387,494,568
112,189,386,493,567
113,188,385,492,566
114,187,384,491,565
115,186,383,490,564
116,185,382,489,563
117,184,381,488,562
118,183,380,487,561
119,182,379,486,560
120,181,378,485,559
121,180,377,484,558
122,179,376,483,557
123,178,375,482,556
124,177,374,481,555
125,176,373,480,554
126,175,372,479,553
127,174,371,478,552
128,173,370,477,551
129,172,369,476,550
130,171,368,475,549
131,170,367,474,548
132,169,366,473,547
133,168,365,472,546
134,167,364,471,545
135,166,363,470,544
136,165,362,469,543
137,164,361,468,542
138,163,360,467,541
139,162,359,466,540
140,161,358,465,539
141,160,357,464,538
142,159,356,463,537
143,158,355,462,536
144,157,354,461,535
145,156,353,460,534
146,155,352,459,533
147,154,351,458,532
148,153,350,457,531
149,152,349,456,530
150,151,348,455,529
