BveTs Vehicle Performance Table 1.00,,,,
#,f,,,
#,1,2,3,4
#,p1f,p2f,p3f,p4f
0,50374.8,52054,52475,58079
1,48800.6,52054,52475,58079
2,47321.8,52054,52475,58079
3,45032.5,52054,52475,58079
4,41884.5,52054,52475,58079
5,39036.2,52054,52475,58079
6,36451.8,52054,52475,58079
7,34100.8,52054,52475,58079
8,31956.7,52054,52475,58079
9,29996.7,52054,52475,58079
10,28200.9,52054,52475,58079
11,26552.2,52054,52475,58079
12,25035.3,52054,52475,58079
13,23637,52054,52475,58079
14,22345.6,52054,52475,58079
15,21150.9,52054,52475,58079
16,20043.7,52054,52475,58079
17,19016,52054,52475,58079
18,18060.6,52054,52475,58079
19,17171.1,52054,52475,58079
20,16341.7,52054,52475,58079
21,15567.4,52054,52475,58079
22,14843.4,52054,52475,58079
23,14165.7,52054,52475,58079
24,13530.6,52054,52475,58079
25,12934.6,52054,52475,58079
26,12374.7,52054,52475,58079
27,11848.2,52054,52475,58079
28,11352.5,52054,52475,58079
29,10885.4,52054,52475,58079
30,10444.8,52054,52475,58079
31,10028.7,50374.8,52475,58079
32,9635.4,48800.6,52475,58079
33,9263.5,47321.8,52475,58079
34,8911.3,45032.5,52475,58079
35,8577.6,41884.5,52475,58079
36,8261.1,39036.2,52475,58079
37,7960.7,36451.8,52475,58079
38,7675.4,34100.8,52475,58079
39,7404.2,31956.7,52475,58079
40,7146.2,29996.7,52475,58079
41,6900.7,28200.9,52475,58079
42,6666.8,26552.2,52475,58079
43,6443.8,25035.3,52475,58079
44,6231.2,23637,52475,58079
45,6028.2,22345.6,52240.1,58079
46,5834.4,21150.9,51805.9,58079
47,5649.2,20043.7,51381.5,58079
48,5472.1,19016,50966.3,58079
49,5302.7,18060.6,50560.2,58079
50,5140.6,17171.1,50162.8,56079
51,4985.3,16341.7,49773.8,53079
52,4836.5,15567.4,49392.9,52495.7
53,4693.8,14843.4,49019.8,51925.1
54,4557,14165.7,48500.2,51366.8
55,4425.7,13530.6,47533.8,50820.3
56,4299.6,12934.6,46598.4,50285.4
57,4178.5,12374.7,45692.7,49761.6
58,4062.1,11848.2,44815.4,49248.6
59,3950.2,11352.5,43965.3,48746
60,3842.6,10885.4,43141.2,48253.6
61,3739,10444.8,42342,47771.1
62,3639.3,10028.7,41566.7,47298.1
63,3543.3,9635.4,40814.3,46834.4
64,3450.8,9263.5,40084,46379.7
65,3361.6,8911.3,39374.7,45933.8
66,3275.6,8577.6,38685.7,45496.3
67,3192.7,8261.1,38016.1,45067.1
68,3112.7,7960.7,37365.3,44645.9
69,3035.5,7675.4,36732.5,44232.5
70,2960.9,7404.2,36117,43826.7
71,2888.8,7146.2,35518.1,43428.3
72,2819.2,6900.7,34935.3,43037
73,2751.9,6666.8,34368,42652.8
74,2686.9,6443.8,33815.5,42275.3
75,2624,6231.2,33277.4,41904.5
76,2563.1,6028.2,32753.2,41540.1
77,2504.2,5834.4,32242.3,41182
78,2447.1,5649.2,31744.2,40699.8
79,2391.9,5472.1,31258.7,40012.9
80,2338.4,5302.7,30785.1,39343.3
81,2286.5,5140.6,30323.1,38690.3
82,2236.3,4985.3,29872.4,38053.4
83,2187.6,4836.5,29432.5,37432.1
84,2140.3,4693.8,29003.1,36826
85,2094.5,4557,28583.8,36234.4
86,2050,4425.7,28174.3,35653
87,2006.9,4299.6,27774.3,35071.6
88,1965,4178.5,27383.5,34490.2
89,1924.3,4062.1,27001.6,33908.8
90,1884.8,3950.2,26628.3,33327.4
91,1846.4,3842.6,26263.4,32746
92,1809.1,3739,25906.6,32164.6
93,1772.8,3639.3,25557.6,31583.2
94,1737.6,3543.3,25216.2,31001.8
95,1703.3,3450.8,24882.2,30420.4
96,1670,3361.6,24555.4,30122.2
97,1637.6,3275.6,24235.5,29684.1
98,1606,3192.7,23922.4,29255.4
99,1575.3,3112.7,23615.8,28836
100,1545.4,3035.5,23315.6,28425.5
101,1516.3,2960.9,23021.6,28023.7
102,1488,2888.8,22733.6,27630.4
103,1460.4,2819.2,22451.4,27245.3
104,1433.5,2751.9,22174.9,26868.3
105,1407.3,2686.9,21903.9,26498.9
106,1381.7,2624,21638.3,26137.2
107,1356.8,2563.1,21377.9,25782.8
108,1332.6,2504.2,21122.6,25435.5
109,1308.9,2447.1,20872.2,25095.3
110,1285.8,2391.9,20626.6,24761.8
111,1263.3,2338.4,20385.7,23922.4
112,1241.3,2286.5,20149.4,23615.8
113,1219.9,2236.3,19917.5,23315.6
114,1199,2187.6,19689.9,23021.6
115,1178.5,2140.3,19466.6,22733.6
116,1158.6,2094.5,19247.4,22451.4
117,1139.1,2050,19032.1,22174.9
118,1120.1,2006.9,18820.8,21903.9
119,1101.5,1965,18613.3,21638.3
120,1082.633333,1924.3,18409.4,21377.9
121,1063.833333,1884.8,18209.2,21122.6
122,1045.033333,1846.4,18012.6,20872.2
123,1026.233333,1809.1,17819.4,20626.6
124,1007.433333,1772.8,17629.5,20385.7
125,988.6333333,1737.6,17442.9,20149.4
126,969.8333333,1703.3,17259.5,19917.5
127,951.0333333,1670,17171.1,19689.9
128,932.2333333,1637.6,16341.7,19466.6
129,913.4333333,1606,15567.4,19247.4
130,894.6333333,1575.3,14843.4,19032.1
131,875.8333333,1545.4,14165.7,18820.8
132,857.0333333,1516.3,13530.6,18613.3
133,838.2333333,1488,12934.6,18409.4
134,819.4333333,1460.4,12374.7,18209.2
135,800.6333333,1433.5,11848.2,18012.6
136,781.8254902,1407.3,11352.5,17819.4
137,763.0241831,1381.7,10885.4,17629.5
138,744.2228759,1356.8,10444.8,17442.9
139,725.4215687,1332.6,10028.7,17259.5
140,706.6202615,1308.9,9635.4,17171.1
141,687.8189544,1285.8,9263.5,16341.7
142,669.0176472,1263.3,8911.3,15567.4
143,650.21634,1241.3,8577.6,14843.4
144,631.4150329,1219.9,8261.1,14165.7
145,612.6137257,1199,7960.7,13530.6
146,593.8124185,1178.5,7675.4,12934.6
147,575.0111113,1158.6,7404.2,12374.7
148,556.2098042,1139.1,7146.2,11848.2
149,537.408497,1120.1,6900.7,11352.5
150,518.6071898,1101.5,6666.8,10856.8
