BveTs Vehicle Performance Table 1.00,
#,C-Max
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,299
16,300
17,301
18,302
19,303
20,304
21,305
22,306
23,307
24,308
25,309
26,290
27,292
28,294
29,296
30,298
31,300
32,302
33,304
34,306
35,308
36,310
37,312
38,314
39,316
40,318
41,320
42,322
43,324
44,326
45,328
46,330
47,332
48,334
49,336
50,338
51,340
52,316
53,320
54,324
55,328
56,332
57,336
58,340
59,344
60,348
61,352
62,356
63,360
64,364
65,368
66,372
67,376
68,380
69,384
70,388
71,390
72,390
73,390
74,390
75,392
76,390
77,400
78,410
79,410
80,415
81,420
82,420
83,370
84,380
85,393
86,390
87,400
88,420
89,440
90,410
91,420
92,430
93,452
94,430
95,430
96,430
97,448
98,460
99,480
100,493
101,490
102,490
103,490
104,490
105,488
106,490
107,490
108,490
109,490
110,490
111,490
112,490
113,490
114,490
115,490
116,390
117,390
118,390
119,390
120,390
121,390
122,390
123,390
124,390
125,390
126,390
127,390
128,390
129,390
130,390
131,390
132,390
133,390
134,390
135,390
136,390
137,390
138,390
139,390
140,390
141,390
142,390
143,390
144,390
145,389
146,388
147,387
148,386
149,385
150,384
