BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BreakerDelay_On,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BreakerDelay_Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CurrentReducingTime,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
JerkRegulation_Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JerkRegulation_Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RequiredNotch_Up,1,2,2,2,2,2,3,3,3,4,4,4,4,4
RequiredNotch_Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stepdelay_Up,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Stepdelay_Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CurrentLimitingValue_Empty,450,450,450,450,450,450,450,450,450,450,450,450,450,450
CurrentLimitingValue_Full,650,650,650,650,650,650,650,650,650,650,650,650,650,650
ResetTime,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,,
,#1N,#2N,,,,,,,,,,#3N,,
