BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,
#,cMax,,,,,,,,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,左1ノッチ,右2ノッチ,,,,,,,,,,,
0,310,320,330,350,360,430,460,480.2,491.6,550,590,670,750,846.8
1,300,315.4,326,300,300,424.3,456.3,472.9,484.8,542,582,662.7,743.2,843.6
2,290,310.8,322,299,299,418.6,452.6,465.6,478,534,574,655.4,736.4,840.4
3,280,306.2,318,298,298,412.9,448.9,458.3,471.2,526,566,648.1,729.6,837.2
4,270,301.6,314,297,297,407.2,445.2,451,464.4,518,558,640.8,722.8,834
5,260,297,310,296,296,401.5,441.5,443.7,457.6,510,550,633.5,716,830.8
6,250,292.4,306,295,295,395.8,437.8,436.4,450.8,502,542,626.2,709.2,827.6
7,240,287.8,302,294,294,390.1,434.1,429.1,444,494,534,618.9,702.4,824.4
8,230,283.2,298,293,293,384.4,430.4,421.8,437.2,486,526,611.6,695.6,821.2
9,220,278.6,294,292,292,378.7,426.7,414.5,430.4,478,518,604.3,688.8,818
10,210,274,290,291,291,373,423,407.2,423.6,470,510,597,682,814.8
11,200,269.4,286,290,290,367.3,419.3,399.9,416.8,462,502,589.7,675.2,811.6
12,190,264.8,282,289,289,361.6,415.6,392.6,410,454,494,582.4,668.4,808.4
13,180,260.2,278,288,288,355.9,411.9,385.3,403.2,446,486,575.1,661.6,805.2
14,170,255.6,274,287,287,350.2,408.2,378,396.4,438,478,567.8,654.8,802
15,160,251,270,286,286,344.5,404.5,370.7,389.6,430,470,560.5,648,798.8
16,150,246.4,266,285,285,338.8,400.8,363.4,382.8,422,462,553.2,641.2,795.6
17,140,241.8,262,284,284,333.1,397.1,356.1,376,414,454,545.9,634.4,792.4
18,130,237.2,258,283,283,327.4,393.4,348.8,369.2,406,446,538.6,627.6,789.2
19,120,232.6,254,282,282,321.7,389.7,341.5,362.4,398,438,531.3,620.8,786
20,110,228,250,281,281,316,386,334.2,355.6,390,430,524,614,782.8
21,100,223.4,246,280,280,310.3,382.3,326.9,348.8,382,422,516.7,607.2,779.6
22,90,218.8,242,279,279,304.6,378.6,319.6,342,374,414,509.4,600.4,776.4
23,80,214.2,238,278,278,298.9,374.9,312.3,335.2,366,406,502.1,593.6,773.2
24,70,209.6,234,277,277,293.2,371.2,305,328.4,358,398,494.8,586.8,770
25,60,205,230,276,276,287.5,367.5,297.7,321.6,350,390,487.5,580,766.8
26,50,200.4,226,275,275,281.8,363.8,290.4,314.8,342,382,480.2,573.2,763.6
27,40,195.8,222,274,274,276.1,360.1,283.1,308,334,374,472.9,566.4,760.4
28,30,191.2,218,273,273,270.4,356.4,275.8,301.2,326,366,465.6,559.6,757.2
29,20,186.6,214,272,272,264.7,352.7,268.5,294.4,318,358,458.3,552.8,754
30,10,182,210,271,271,259,349,261.2,287.6,310,350,451,546,750.8
31,0,177.4,206,270,270,253.3,345.3,253.9,280.8,302,342,443.7,539.2,747.6
32,,172.8,202,269,269,247.6,341.6,246.6,274,294,334,436.4,532.4,744.4
33,,168.2,198,268,268,241.9,337.9,239.3,267.2,286,326,429.1,525.6,741.2
34,,163.6,194,267,267,236.2,334.2,223.2,260.4,278,318,421.8,518.8,738
35,,159,190,266,266,230.5,330.5,219.5,253.6,270,310,414.5,512,734.8
36,,154.4,186,265,265,224.8,326.8,215.8,246.8,262,302,407.2,505.2,731.6
37,,149.8,182,264,264,219.1,323.1,212.1,240,254,294,399.9,498.4,728.4
38,,145.2,178,263,263,213.4,319.4,208.4,233.2,246,286,392.6,491.6,725.2
39,,140.6,174,262,262,207.7,315.7,204.7,226.4,238,278,385.3,484.8,722
40,,136,170,261,261,202,312,201,219.6,230,270,378,478,718.8
41,,131.4,166,260,260,196.3,308.3,197.3,212.8,222,262,370.7,471.2,715.6
42,,126.8,162,259,259,190.6,304.6,193.6,206,214,254,363.4,464.4,712.4
43,,122.2,158,258,258,184.9,300.9,189.9,199.2,206,246,356.1,457.6,709.2
44,,117.6,154,257,257,179.2,297.2,186.2,192.4,198,238,348.8,450.8,706
45,,113,150,256,256,173.5,293.5,182.5,185.6,190,230,341.5,444,702.8
46,,108.4,146,255,255,167.8,289.8,178.8,178.8,182,222,334.2,437.2,699.6
47,,103.8,142,254,254,162.1,286.1,175.1,172,174,214,326.9,430.4,696.4
48,,99.2,138,253,253,156.4,282.4,171.4,165.2,166,206,319.6,423.6,693.2
49,,94.6,134,252,252,150.7,278.7,167.7,158.4,158,198,312.3,416.8,690
50,,90,130,251,251,145,275,164,151.6,150,190,305,410,686.8
51,,85.4,126,250,250,139.3,271.3,160.3,144.8,142,182,297.7,403.2,683.6
52,,80.8,122,249,249,133.6,267.6,156.6,130,134,174,290.4,396.4,680.4
53,,76.2,118,248,248,127.9,263.9,152.9,115.2,126,166,283.1,389.6,677.2
54,,71.6,114,247,247,122.2,260.2,149.2,100.4,118,158,275.8,382.8,674
55,,67,110,246,246,116.5,256.5,145.5,85.6,110,150,268.5,376,670.8
56,,62.4,106,245,245,110.8,252.8,141.8,70.8,102,142,261.2,369.2,667.6
57,,57.8,102,244,244,105.1,249.1,138.1,56,94,134,253.9,362.4,664.4
58,,53.2,98,243,243,99.4,245.4,134.4,41.2,86,126,246.6,355.6,661.2
59,,48.6,94,242,242,93.7,241.7,130.7,26.4,78,118,239.3,348.8,658
60,,44,90,241,241,88,238,127,11.6,70,110,232,342,654.8
61,,39.4,86,240,240,82.3,234.3,123.3,,62,102,224.7,335.2,651.6
62,,34.8,82,239,239,76.6,230.6,119.6,,54,94,217.4,328.4,648.4
63,,30.2,78,238,238,70.9,226.9,115.9,,46,86,210.1,321.6,645.2
64,,25.6,74,237,237,65.2,223.2,112.2,,38,78,202.8,314.8,642
65,,21,70,236,236,59.5,219.5,108.5,,30,70,195.5,308,638.8
66,,16.4,66,235,235,53.8,215.8,104.8,,22,62,188.2,301.2,635.6
67,,11.8,62,234,234,48.1,212.1,101.1,,14,54,180.9,294.4,632.4
68,,7.2,58,233,233,42.4,208.4,97.4,,6,46,173.6,287.6,629.2
69,,2.6,54,232,232,36.7,204.7,93.7,,,38,166.3,280.8,626
70,,,50,231,231,31,201,90,,,30,159,274,622.8
71,,,46,230,230,25.3,197.3,86.3,,,22,151.7,267.2,619.6
72,,,42,229,229,19.6,193.6,82.6,,,14,144.4,260.4,616.4
73,,,38,228,228,13.9,189.9,78.9,,,6,137.1,253.6,613.2
74,,,34,227,227,8.2,186.2,75.2,,,,129.8,246.8,610
75,,,30,226,226,,182.5,71.5,,,,122.5,240,606.8
76,,,26,225,225,,178.8,67.8,,,,115.2,233.2,603.6
77,,,22,224,224,,175.1,64.1,,,,107.9,226.4,600.4
78,,,18,223,223,,171.4,60.4,,,,100.6,219.6,597.2
79,,,14,222,222,,167.7,56.7,,,,93.3,212.8,594
80,,,10,221,221,,164,53,,,,86,206,590.8
81,,,6,220,220,,160.3,49.3,,,,78.7,199.2,587.6
82,,,2,219,219,,156.6,45.6,,,,71.4,192.4,584.4
83,,,,218,218,,152.9,41.9,,,,64.1,185.6,581.2
84,,,,217,217,,149.2,38.2,,,,56.8,178.8,578
85,,,,216,216,,145.5,34.5,,,,49.5,172,574.8
86,,,,215,215,,141.8,30.8,,,,42.2,165.2,571.6
87,,,,214,214,,138.1,27.1,,,,34.9,158.4,568.4
88,,,,213,213,,134.4,23.4,,,,27.6,151.6,565.2
89,,,,212,212,,130.7,19.7,,,,20.3,144.8,562
90,,,,211,211,,127,16,,,,13,138,558.8
91,,,,210,210,,123.3,12.3,,,,5.7,131.2,555.6
92,,,,209,209,,119.6,8.6,,,,,124.4,552.4
93,,,,208,208,,115.9,4.9,,,,,117.6,549.2
94,,,,207,207,,112.2,1.2,,,,,110.8,546
95,,,,206,206,,108.5,,,,,,104,542.8
96,,,,205,205,,104.8,,,,,,97.2,539.6
97,,,,204,204,,101.1,,,,,,90.4,536.4
98,,,,203,203,,97.4,,,,,,83.6,533.2
99,,,,202,202,,93.7,,,,,,76.8,530
100,,,,201,201,,90,,,,,,70,526.8
101,,,,200,200,,86.3,,,,,,63.2,523.6
102,,,,199,199,,82.6,,,,,,56.4,520.4
103,,,,198,198,,78.9,,,,,,49.6,517.2
104,,,,197,197,,75.2,,,,,,42.8,514
105,,,,196,196,,71.5,,,,,,36,510.8
106,,,,195,195,,67.8,,,,,,29.2,507.6
107,,,,194,194,,64.1,,,,,,22.4,504.4
108,,,,193,193,,60.4,,,,,,15.6,501.2
109,,,,192,192,,56.7,,,,,,8.8,498
110,,,,191,191,,53,,,,,,2,494.8
111,,,,190,190,,49.3,,,,,,,491.6
112,,,,189,189,,45.6,,,,,,,488.4
113,,,,188,188,,41.9,,,,,,,485.2
114,,,,187,187,,38.2,,,,,,,482
115,,,,186,186,,34.5,,,,,,,478.8
116,,,,185,185,,30.8,,,,,,,475.6
117,,,,184,184,,27.1,,,,,,,472.4
118,,,,183,183,,23.4,,,,,,,469.2
119,,,,182,182,,19.7,,,,,,,466
120,,,,181,181,,16,,,,,,,462.8
121,,,,180,180,,12.3,,,,,,,459.6
122,,,,179,179,,8.6,,,,,,,456.4
123,,,,178,178,,4.9,,,,,,,453.2
124,,,,177,177,,1.2,,,,,,,450
125,,,,176,176,,,,,,,,,
126,,,,175,175,,,,,,,,,
127,,,,174,174,,,,,,,,,
128,,,,173,173,,,,,,,,,
129,,,,172,172,,,,,,,,,
130,,,,171,171,,,,,,,,,
131,,,,170,170,,,,,,,,,
132,,,,169,169,,,,,,,,,
133,,,,168,168,,,,,,,,,
134,,,,167,167,,,,,,,,,
135,,,,166,166,,,,,,,,,
136,,,,165,165,,,,,,,,,
137,,,,164,164,,,,,,,,,
138,,,,163,163,,,,,,,,,
139,,,,162,162,,,,,,,,,
140,,,,161,161,,,,,,,,,
141,,,,160,160,,,,,,,,,
142,,,,159,159,,,,,,,,,
143,,,,158,158,,,,,,,,,
144,,,,157,157,,,,,,,,,
145,,,,156,156,,,,,,,,,
146,,,,155,155,,,,,,,,,
147,,,,154,154,,,,,,,,,
148,,,,153,153,,,,,,,,,
149,,,,152,152,,,,,,,,,
150,,,,151,151,,,,,,,,,
