BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,
#,fMax,,,,,,,,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,
0,80942.9,151288.9,69516.3,80414.8,91313.3,102211.8,113110.3,124008.8,134907.3,145805.8,156704.3,167602.8,178501.3,189399.8
1,73908.3,144254.3,67336.6,78235.1,89133.6,100032.1,110930.6,121829.1,132727.6,143626.1,154524.6,165423.1,176321.6,187220.1
2,67700.7,137219.7,65156.9,76055.4,86953.9,97852.4,108750.9,119649.4,130547.9,141446.4,152344.9,163243.4,174141.9,185040.4
3,62199.2,130185.1,62977.2,73875.7,84774.2,95672.7,106571.2,117469.7,128368.2,139266.7,150165.2,161063.7,171962.2,182860.7
4,57303.9,123150.5,60797.5,71696,82594.5,93493,104391.5,115290,126188.5,137087,147985.5,158884,169782.5,180681
5,52931.4,116115.9,58617.8,69516.3,80414.8,91313.3,102211.8,113110.3,124008.8,134907.3,145805.8,156704.3,167602.8,178501.3
6,49012.1,109081.3,56438.1,67336.6,78235.1,89133.6,100032.1,110930.6,121829.1,132727.6,143626.1,154524.6,165423.1,176321.6
7,45487.4,102046.7,54258.4,65156.9,76055.4,86953.9,97852.4,108750.9,119649.4,130547.9,141446.4,152344.9,163243.4,174141.9
8,42307.6,95012.1,52078.7,62977.2,73875.7,84774.2,95672.7,106571.2,117469.7,128368.2,139266.7,150165.2,161063.7,171962.2
9,39430.5,87977.5,49899,60797.5,71696,82594.5,93493,104391.5,115290,126188.5,137087,147985.5,158884,169782.5
10,36820,80942.9,47719.3,58617.8,69516.3,80414.8,91313.3,102211.8,113110.3,124008.8,134907.3,145805.8,156704.3,167602.8
11,34445.2,73908.3,45539.6,56438.1,67336.6,78235.1,89133.6,100032.1,110930.6,121829.1,132727.6,143626.1,154524.6,165423.1
12,32279.5,67700.7,43359.9,54258.4,65156.9,76055.4,86953.9,97852.4,108750.9,119649.4,130547.9,141446.4,152344.9,163243.4
13,30299.7,62199.2,41180.2,52078.7,62977.2,73875.7,84774.2,95672.7,106571.2,117469.7,128368.2,139266.7,150165.2,161063.7
14,28485.8,57303.9,39000.5,49899,60797.5,71696,82594.5,93493,104391.5,115290,126188.5,137087,147985.5,158884
15,26820.4,52931.4,36820.8,47719.3,58617.8,69516.3,80414.8,91313.3,102211.8,113110.3,124008.8,134907.3,145805.8,156704.3
16,25288.1,49012.1,34641.1,45539.6,56438.1,67336.6,78235.1,89133.6,100032.1,110930.6,121829.1,132727.6,143626.1,154524.6
17,23875.7,45487.4,32461.4,43359.9,54258.4,65156.9,76055.4,86953.9,97852.4,108750.9,119649.4,130547.9,141446.4,152344.9
18,22571.3,42307.6,30281.7,41180.2,52078.7,62977.2,73875.7,84774.2,95672.7,106571.2,117469.7,128368.2,139266.7,150165.2
